Data as of,Start Date,End Date,Year,Month,Group,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Non Hispanic more than one race,Hispanic or Latino,Footnote
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,United States,Count of COVID-19 deaths,354055,87393,6585,22441,1063,1900,107631,
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,United States,Distribution of COVID-19 deaths (%),60.7,15,1.1,3.8,0.2,0.3,18.5,
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,United States,Weighted distribution of population (%),39.7,13.3,0.4,10.1,0.2,2.1,34.3,
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,United States,Count of COVID-19 deaths,232268,61262,4607,13488,692,1140,69340,
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,United States,Distribution of COVID-19 deaths (%),60.4,15.9,1.2,3.5,0.2,0.3,18,
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,United States,Weighted distribution of population (%),40.8,14.2,0.4,9.7,0.2,2.1,32.8,
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,United States,Count of COVID-19 deaths,121787,26131,1978,8953,371,760,38291,
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,United States,Distribution of COVID-19 deaths (%),61.3,13.2,1,4.5,0.2,0.4,19.3,
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,United States,Weighted distribution of population (%),38,11.9,0.4,10.6,0.2,2.1,36.8,
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,United States,Count of COVID-19 deaths,3,3,0,0,0,0,1,
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,United States,Distribution of COVID-19 deaths (%),42.9,42.9,0,0,0,0,14.3,
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,United States,Weighted distribution of population (%),31.3,10,0.3,13.1,0.2,2.2,43,
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,United States,Count of COVID-19 deaths,13,1,0,1,0,0,3,
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,United States,Distribution of COVID-19 deaths (%),72.2,5.6,0,5.6,0,0,16.7,
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,United States,Weighted distribution of population (%),51.6,8.8,0.4,18.2,0.5,3.3,17.2,
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,United States,Count of COVID-19 deaths,3237,2173,30,444,6,19,1123,
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,United States,Distribution of COVID-19 deaths (%),45.4,30.5,0.4,6.2,0.1,0.3,15.8,
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,United States,Weighted distribution of population (%),40.3,18.9,0.3,12.3,0.1,2,26.1,
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,United States,Count of COVID-19 deaths,33145,16362,299,3461,41,159,11064,
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,United States,Distribution of COVID-19 deaths (%),50.7,25,0.5,5.3,0.1,0.2,16.9,
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,United States,Weighted distribution of population (%),41.9,18.1,0.2,11.1,0.1,1.9,26.6,
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,United States,Count of COVID-19 deaths,21763,7833,439,1642,38,89,6225,
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,United States,Distribution of COVID-19 deaths (%),56.9,20.5,1.1,4.3,0.1,0.2,16.3,
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,United States,Weighted distribution of population (%),43,15.8,0.3,9.8,0.1,2,29,
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,United States,Count of COVID-19 deaths,8974,3444,384,693,68,54,4290,
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,United States,Distribution of COVID-19 deaths (%),49.9,19.2,2.1,3.9,0.4,0.3,23.9,
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,United States,Weighted distribution of population (%),39.4,13.6,0.4,9.7,0.2,2,34.8,
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,United States,Count of COVID-19 deaths,13919,5580,433,863,95,104,10015,
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,United States,Distribution of COVID-19 deaths (%),44.8,18,1.4,2.8,0.3,0.3,32.2,
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,United States,Weighted distribution of population (%),36.8,12.2,0.5,8.2,0.2,1.9,40.2,
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,United States,Count of COVID-19 deaths,15265,5369,334,849,67,97,7798,
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,United States,Distribution of COVID-19 deaths (%),51.2,18,1.1,2.8,0.2,0.3,26.1,
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,United States,Weighted distribution of population (%),36.9,12.7,0.4,8.7,0.2,2,39.1,
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,United States,Count of COVID-19 deaths,11536,2979,245,607,68,72,3570,
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,United States,Distribution of COVID-19 deaths (%),60.4,15.6,1.3,3.2,0.4,0.4,18.7,
